section,metric,functional,realistic_calibrated,aruba,realistic_to_functional_ratio,unit
sensor_event_count_by_id,LivingRoom,0,0,8320,,events
sensor_event_count_by_id,LoungeChair,0,0,6800,,events
sensor_event_count_by_id,M001,14,0,0,0,events
sensor_event_count_by_id,M002,27,0,0,0,events
sensor_event_count_by_id,M003,15,0,0,0,events
sensor_event_count_by_id,M004,40,0,0,0,events
sensor_event_count_by_id,M005,15,0,0,0,events
sensor_event_count_by_id,M006,121,0,0,0,events
sensor_event_count_by_id,M007,29,0,0,0,events
sensor_event_count_by_id,M008,15,0,0,0,events
sensor_event_count_by_id,M_BATH_ENT,0,99,0,,events
sensor_event_count_by_id,M_BED,0,32,0,,events
sensor_event_count_by_id,M_BED_ENT,0,1,0,,events
sensor_event_count_by_id,M_CLOSET,0,1,0,,events
sensor_event_count_by_id,M_COUNTER,0,133,0,,events
sensor_event_count_by_id,M_DINING_ENT,0,25,0,,events
sensor_event_count_by_id,M_ENT_INSIDE,0,29,0,,events
sensor_event_count_by_id,M_FRIDGE,0,45,0,,events
sensor_event_count_by_id,M_FRONT,0,11,0,,events
sensor_event_count_by_id,M_HALL_BED,0,223,0,,events
sensor_event_count_by_id,M_HALL_CENTER,0,5,0,,events
sensor_event_count_by_id,M_HALL_ENT,0,1,0,,events
sensor_event_count_by_id,M_KITCH_BOUND,0,35,0,,events
sensor_event_count_by_id,M_KITCH_ENT,0,57,0,,events
sensor_event_count_by_id,M_KITCH_SINK,0,75,0,,events
sensor_event_count_by_id,M_LIVING_ENT,0,9,0,,events
sensor_event_count_by_id,M_NIGHT,0,15,0,,events
sensor_event_count_by_id,M_OUT,0,9,0,,events
sensor_event_count_by_id,M_SHELF,0,11,0,,events
sensor_event_count_by_id,M_SHOWER,0,19,0,,events
sensor_event_count_by_id,M_SINK,0,65,0,,events
sensor_event_count_by_id,M_SOFA,0,76,0,,events
sensor_event_count_by_id,M_TABLE,0,59,0,,events
sensor_event_count_by_id,M_TOILET,0,57,0,,events
sensor_event_count_by_id,M_WINDOW,0,13,0,,events
sensor_event_count_by_id,OtherRoom,0,0,1384,,events
sensor_event_count_by_id,OutsideDoor,0,0,564,,events
sensor_event_count_by_id,WorkArea,0,0,3102,,events
synthetic_room_occupied_hours,bathroom,5.13685385,13.5999625,,2.64752764,resident-hours
synthetic_room_occupied_hours,bedroom,49.2166145,51.0489625,,1.03723027,resident-hours
synthetic_room_occupied_hours,dining_room,3.40773452,20.4320892,,5.99579842,resident-hours
synthetic_room_occupied_hours,entrance,1.15163003,5.09144289,,4.42107515,resident-hours
synthetic_room_occupied_hours,hallway,0,0.170721793,,,resident-hours
synthetic_room_occupied_hours,kitchen,4.54515553,17.1332761,,3.76956871,resident-hours
synthetic_room_occupied_hours,living_room,66.6200876,36.7705657,,0.551944122,resident-hours
synthetic_room_occupied_hours,outside,34.3721251,22.781979,,0.662803912,resident-hours
distance_to_aruba,hourly_js_bits,0.312937297,0.11470241,0,0.3665348,distance (lower is closer)
distance_to_aruba,room_rank_js_bits,0.144641533,0.065365839,0,0.45191611,distance (lower is closer)
distance_to_aruba,inter_event_gap_wasserstein_sec,990.636267,305.623837,0,0.308512668,distance (lower is closer)
distance_to_aruba,adl_duration_wasserstein_min,91.6903089,62.338218,0,0.679877936,distance (lower is closer)
distance_to_aruba,transition_probability_rank_l1,6.262,5.519,0,0.881347812,distance (lower is closer)
